銘柄コード,会社名,業種,優先市場,決算月,会計基準,時価総額,EV/EBITDA,配当金(会予),配当金(前期),配当利回り(会予),自己資本比率,営業CF,発行済株式総数
7905,大建工業,その他製品,プライム,3,日本,"53,969",3.1,110.0,100.0,5.3,44.7,"16,834","26,072,002.0"
1946,トーエネック,建設業,プライム,3,日本,"63,281",5.2,140.0,135.0,4.1,40.8,"5,943","18,694,656.0"
6371,椿本チエイン,機械,プライム,3,日本,"108,803",2.9,130.0,120.0,4.4,64.6,"21,000","37,033,209.0"
9260,西本WismettacHD,卸売業,プライム,12,日本,"49,015",4.5,145.0,105.0,4.2,39.5,"2,172","14,352,920.0"
4044,セントラル硝子,化学,プライム,3,日本,"110,558",5.1,115.0,75.0,4.1,56.4,"14,872","39,066,468.0"
2715,エレマテック,卸売業,プライム,3,日本,"60,436",2.7,74.0,53.0,5.0,52.1,"4,236","40,946,209.0"
9110,NSユナイテッド海運,海運業,プライム,3,日本,"90,847",3.7,340.0,285.0,8.8,45.4,"32,881","23,566,153.0"
7283,愛三工業,輸送用機器,プライム,3,日本,"42,462",2.9,30.0,29.0,4.5,44.9,"13,544","63,001,234.0"
1961,三機工業,建設業,プライム,3,日本,"86,859",5.3,70.0,85.0,4.5,56.4,"18,529","55,858,298.0"
7250,太平洋工業,輸送用機器,プライム,3,日本,"59,463",3.7,42.0,41.0,4.2,55.2,"18,317","59,642,041.0"
6463,TPR,機械,プライム,3,日本,"40,123",1.6,60.0,58.0,5.1,51.1,"19,859","33,973,978.0"
4471,三洋化成工業,化学,プライム,3,日本,"88,629",3.9,170.0,170.0,4.2,70.5,"11,328","22,074,685.0"
7246,プレス工業,輸送用機器,プライム,3,日本,"42,587",1.5,21.0,20.0,5.1,56.1,"15,390","103,116,825.0"
1822,大豊建設,建設業,プライム,3,日本,"68,804",3.8,230.0,243.0,5.9,44.0,"5,537","17,597,171.0"
4041,日本曹達,化学,プライム,3,日本,"119,345",5.7,180.0,180.0,4.2,65.6,"14,545","27,884,366.0"
1515,日鉄鉱業,鉱業,プライム,3,日本,"51,990",1.9,135.5,167.5,4.3,61.4,"8,539","16,636,826.0"
6134,FUJI,機械,プライム,3,日本,"185,497",3.2,80.0,70.0,4.2,87.4,"15,720","96,462,376.0"
6250,やまびこ,機械,プライム,12,日本,"46,687",5.3,52.0,45.0,4.6,52.5,"5,916","41,610,822.0"
6407,CKD,機械,プライム,3,日本,"123,712",4.0,84.0,67.0,4.5,63.7,"12,352","66,691,597.0"
4215,タキロンシーアイ,化学,プライム,3,日本,"48,832",3.6,22.0,27.0,4.4,59.9,"11,942","97,276,239.0"
6486,イーグル工業,機械,プライム,3,日本,"50,722",2.8,50.0,50.0,4.8,53.2,"12,238","48,260,707.0"
5911,横河ブリッジHD,金属製品,プライム,3,日本,"76,307",4.1,80.0,75.0,4.3,62.1,"17,074","41,113,741.0"
7729,東京精密,精密機器,プライム,3,日本,"175,558",4.0,218.0,185.0,5.1,69.6,"24,062","40,685,519.0"
6651,日東工業,電気機器,プライム,3,日本,"88,759",5.3,140.0,50.0,6.0,80.4,"8,471","37,931,199.0"
6379,レイズネクスト,建設業,プライム,3,日本,"68,954",5.6,58.0,58.0,4.6,76.7,"11,157","54,167,217.0"
5331,ノリタケカンパニーリミテド,ガラス・土石製品,プライム,3,日本,"56,650",3.9,180.0,150.0,4.6,71.2,"12,835","14,433,336.0"
1887,日本国土開発,建設業,プライム,5,日本,"47,731",3.9,26.0,26.0,4.6,51.8,"3,759","84,629,454.0"
4116,大日精化工業,化学,プライム,3,日本,"31,268",3.9,80.0,80.0,4.7,55.9,"7,579","18,491,102.0"
6436,アマノ,機械,プライム,3,日本,"176,130",5.0,100.0,95.0,4.1,71.8,"19,200","72,901,884.0"
2121,MIXI,サービス業,プライム,3,日本,"175,919",3.6,110.0,110.0,4.6,82.0,"3,098","72,935,149.0"
4708,りらいあコミュニケーションズ,サービス業,プライム,3,日本,"65,421",3.4,45.0,42.0,4.5,73.3,"7,210","64,838,033.0"
4095,日本パーカライジング,化学,プライム,3,日本,"107,603",1.7,40.0,40.0,4.3,70.7,"14,281","115,703,124.0"
4246,ダイキョーニシカワ,化学,プライム,3,日本,"38,947",4.5,30.0,30.0,5.5,46.3,"3,705","71,072,095.0"
4008,住友精化,化学,プライム,3,日本,"53,968",2.2,200.0,120.0,5.0,67.2,"9,017","13,492,030.0"
5351,品川リフラクトリーズ,ガラス・土石製品,プライム,3,日本,"35,369",3.4,200.0,190.0,5.3,51.7,"9,494","9,356,916.0"
4220,リケンテクノス,化学,プライム,3,日本,"30,087",1.7,23.0,19.0,4.8,54.2,"4,572","63,209,518.0"
1952,新日本空調,建設業,プライム,3,日本,"43,266",4.3,75.0,75.0,4.0,62.9,"7,004","23,362,076.0"
